Cycle\Fluorescence	A1 SYBR Green I	A2 SYBR Green I	A3 SYBR Green I	A4 SYBR Green I	A5 SYBR Green I	A6 SYBR Green I	A7 SYBR Green I	A8 SYBR Green I	A9 SYBR Green I	A10 SYBR Green I	A11 SYBR Green I	A12 SYBR Green I	B1 SYBR Green I	B2 SYBR Green I	B3 SYBR Green I	B4 SYBR Green I	B5 SYBR Green I	B6 SYBR Green I	B7 SYBR Green I	B8 SYBR Green I	B9 SYBR Green I	B10 SYBR Green I	B11 SYBR Green I	B12 SYBR Green I	C1 SYBR Green I	C2 SYBR Green I	C3 SYBR Green I	C4 SYBR Green I	C5 SYBR Green I	C6 SYBR Green I	C7 SYBR Green I	C8 SYBR Green I	C9 SYBR Green I	C10 SYBR Green I	C11 SYBR Green I	C12 SYBR Green I	D1 SYBR Green I	D2 SYBR Green I	D3 SYBR Green I	D4 SYBR Green I	D5 SYBR Green I	D6 SYBR Green I	D7 SYBR Green I	D8 SYBR Green I	D9 SYBR Green I	D10 SYBR Green I	D11 SYBR Green I	D12 SYBR Green I	E1 SYBR Green I	E2 SYBR Green I	E3 SYBR Green I	E4 SYBR Green I	E5 SYBR Green I	E6 SYBR Green I	E7 SYBR Green I	E8 SYBR Green I	E9 SYBR Green I	E10 SYBR Green I	E11 SYBR Green I	E12 SYBR Green I	F1 SYBR Green I	F2 SYBR Green I	F3 SYBR Green I	F4 SYBR Green I	F5 SYBR Green I	F6 SYBR Green I	F7 SYBR Green I	F8 SYBR Green I	F9 SYBR Green I	F10 SYBR Green I	F11 SYBR Green I	F12 SYBR Green I	G1 SYBR Green I	G2 SYBR Green I	G3 SYBR Green I	G4 SYBR Green I	G5 SYBR Green I	G6 SYBR Green I	G7 SYBR Green I	G8 SYBR Green I	G9 SYBR Green I	G10 SYBR Green I	G11 SYBR Green I	G12 SYBR Green I	H1 SYBR Green I	H2 SYBR Green I	H3 SYBR Green I	H4 SYBR Green I	H5 SYBR Green I	H6 SYBR Green I	H7 SYBR Green I	H8 SYBR Green I	H9 SYBR Green I	H10 SYBR Green I	H11 SYBR Green I	H12 SYBR Green I
1	0,017032	0,0161104	0,0178339	0,0193363	0,0331508	0,0179179	0,0188273	0,0328516	0,0351327	0,021983	0,0222359	0,0255073	0,0173813	0,0176692	0,0216716	0,0201142	0,0321852	0,022522	0,0295114	0,0230724	0,0369542	0,0221442	0,024991	0,0286094	0,0214612	0,02022	0,0173366	0,0176805	0,0315116	0,0270237	0,021195	0,0197457	0,0374225	0,0232928	0,0225398	0,0252288	0,019615	0,0168245	0,0163746	0,0171101	0,0406809	0,0200667	0,0191911	0,0188119	0,0401202	0,023863	0,0223191	0,0222022	0,0181734	0,0170244	0,0168298	0,0166293	0,0210595	0,0173161	0,0311592	0,0223101	0,0243796	0,0213271	0,0322337	0,0220567	0,0190122	0,0183272	0,0163127	0,0153704	0,0187208	0,0195578	0,0321256	0,0215696	0,0249599	0,023497	0,0356932	0,0264409	0,0171188	0,0178449	0,0179484	0,0175686	0,0234288	0,0233209	0,0198223	0,022639	0,0267176	0,0277569	0,0277764	0,02483	0,0213882	0,0195855	0,0228374	0,0204755	0,0254098	0,0249073	0,0194981	0,0206573	0,0303219	0,0282813	0,0271942	0,0255976
2	0,0169813	0,0161099	0,0178451	0,0195265	0,033636	0,0180017	0,0189486	0,0326857	0,0355657	0,0220608	0,0224602	0,0256635	0,0175601	0,0178712	0,0216745	0,0203748	0,0325098	0,0228737	0,0299702	0,023385	0,0373629	0,0222936	0,0251085	0,0287161	0,0216428	0,0203072	0,0174267	0,0177325	0,0320059	0,0273568	0,0214715	0,0198164	0,0376611	0,0234163	0,02259	0,025309	0,0195827	0,0168504	0,0163584	0,0171657	0,0411993	0,0199681	0,0194971	0,0191153	0,0404116	0,0239822	0,0224254	0,0222625	0,0181229	0,0172606	0,0170461	0,0167345	0,021114	0,0175131	0,0313051	0,0227396	0,0247691	0,0216457	0,0324839	0,0220289	0,0189423	0,0183985	0,0164316	0,0154386	0,0188795	0,0198768	0,0321349	0,0218187	0,0251242	0,0236312	0,0355699	0,0268336	0,0172305	0,017802	0,0178784	0,0174092	0,0233824	0,0234316	0,0199734	0,0227397	0,0271063	0,0279451	0,0276454	0,0248664	0,0210132	0,0195561	0,0227445	0,0202054	0,0251909	0,0247104	0,0196081	0,0206529	0,0302733	0,0277817	0,0270307	0,0253521
3	0,0171163	0,0160278	0,0179545	0,0193138	0,0337451	0,0180571	0,0188684	0,0325032	0,0354419	0,0221362	0,022347	0,0256089	0,0174565	0,0176231	0,021595	0,0202235	0,0325128	0,0227823	0,0301536	0,0234334	0,0372963	0,0220768	0,0250153	0,0282781	0,021336	0,0201566	0,0173012	0,0178909	0,0321135	0,0273443	0,0214253	0,0198437	0,0374797	0,0234397	0,0224261	0,0252192	0,0196167	0,0167844	0,0164456	0,017152	0,0412182	0,0199973	0,0196381	0,0190041	0,0405158	0,0238657	0,0223685	0,0222475	0,01805	0,0171417	0,0169782	0,0165807	0,0211612	0,017447	0,0310717	0,0224229	0,0247233	0,0214579	0,0323074	0,0223191	0,0188537	0,0181605	0,0162803	0,0153313	0,0188298	0,0199952	0,0322015	0,0217792	0,0251555	0,0235375	0,0355907	0,0268853	0,0171905	0,0177602	0,0179303	0,0174195	0,0233915	0,0235691	0,0199514	0,0225407	0,026978	0,0280525	0,0276987	0,0249365	0,0210861	0,0194838	0,0227622	0,0202927	0,0252205	0,0245956	0,019518	0,0204166	0,0301841	0,0274701	0,0268201	0,025174
4	0,0169337	0,0161389	0,017841	0,019451	0,0336253	0,0180658	0,0189675	0,0322811	0,0353575	0,0220885	0,0225031	0,0254933	0,0174015	0,01772	0,021563	0,0203545	0,0326812	0,0227854	0,0300269	0,0232891	0,0374351	0,0222812	0,0247736	0,0284344	0,0215201	0,0201545	0,0172764	0,0178458	0,0321569	0,027386	0,0213007	0,0198108	0,037578	0,0234607	0,0227427	0,0254395	0,0194198	0,0168315	0,0162844	0,0171676	0,0411887	0,0200642	0,0195241	0,0189932	0,0406317	0,0239541	0,0223083	0,022021	0,0180931	0,0170927	0,0168668	0,0166266	0,021215	0,0175954	0,0309791	0,0224863	0,0246331	0,0216758	0,0321621	0,0223178	0,0188377	0,0180782	0,0164209	0,0152255	0,0187519	0,0199683	0,0320007	0,0218912	0,025075	0,0236658	0,0353616	0,0271351	0,0169608	0,0177416	0,0178261	0,0173129	0,0233267	0,0235594	0,019844	0,0225379	0,0267766	0,0279577	0,0275312	0,0248183	0,0210229	0,0191964	0,0225923	0,0200721	0,0250273	0,0245185	0,0193073	0,0202212	0,0298984	0,0272314	0,0266776	0,0249076
5	0,0170262	0,0160698	0,017985	0,0194043	0,0335192	0,0179818	0,0188204	0,0321556	0,0353469	0,0221644	0,0223595	0,0255151	0,017445	0,0176687	0,0215148	0,0202153	0,0324609	0,0227019	0,0301236	0,0232717	0,0374364	0,0222356	0,0250546	0,0283168	0,021442	0,0202352	0,0172639	0,017734	0,0321624	0,0272565	0,0213807	0,0197433	0,0373949	0,0234183	0,0224752	0,0251962	0,0195728	0,0167452	0,016335	0,0171888	0,0411615	0,0200778	0,019624	0,0189531	0,0404961	0,0238713	0,0224328	0,0221864	0,018023	0,017013	0,0167982	0,0166064	0,0211487	0,0173738	0,030757	0,0225538	0,0246635	0,0213717	0,0318677	0,0220689	0,0188583	0,0181697	0,0163162	0,0153497	0,0186992	0,0200149	0,0316471	0,0219013	0,0250674	0,0234499	0,0352408	0,0268117	0,0171023	0,0175103	0,0178419	0,0172254	0,0233145	0,0235311	0,0200684	0,0224509	0,0268985	0,0277788	0,0274976	0,0248679	0,0209948	0,0193237	0,0224701	0,0201742	0,0248894	0,0245615	0,0194419	0,0203097	0,0298138	0,0272226	0,0267322	0,0247946
6	0,0169643	0,0161102	0,0178652	0,0193019	0,0333836	0,0179629	0,0188084	0,0318671	0,0353019	0,0222179	0,022264	0,0254422	0,017517	0,0175647	0,0213912	0,02024	0,0324348	0,0227478	0,0300784	0,0230652	0,0372121	0,0221572	0,0249373	0,0280639	0,0214245	0,020021	0,0173054	0,0176763	0,0321135	0,027233	0,0213785	0,0197367	0,0372824	0,0233838	0,0225064	0,0251424	0,0194585	0,0167396	0,0163011	0,017052	0,0409654	0,0199579	0,0194529	0,0188616	0,0403629	0,0237558	0,0224193	0,0220042	0,0180385	0,0168859	0,0168929	0,0166276	0,0210782	0,0174619	0,0305413	0,0223962	0,0244599	0,0214009	0,0316391	0,0220977	0,0188701	0,0182173	0,0163519	0,0151294	0,0186059	0,0200342	0,0316181	0,0218167	0,0250303	0,0235818	0,0349147	0,0268661	0,0172051	0,0175839	0,0177584	0,0173003	0,0231233	0,023504	0,0198664	0,0222804	0,02676	0,0276524	0,027316	0,0249254	0,0209102	0,0194684	0,0223907	0,0199859	0,0248908	0,0245299	0,0195411	0,0201828	0,0296989	0,0270555	0,0266981	0,0247304
7	0,01707	0,0160812	0,0177277	0,0194599	0,0331432	0,0178507	0,0188022	0,031804	0,0352524	0,0223583	0,0223061	0,0251819	0,01753	0,0176251	0,0214483	0,020237	0,0323467	0,0227458	0,0299472	0,0229492	0,0371396	0,0219652	0,0249046	0,0282337	0,0214275	0,0200106	0,0171619	0,0177168	0,0319203	0,0272918	0,0212855	0,0196975	0,0372781	0,0232539	0,022342	0,0251641	0,0195895	0,0166013	0,0163137	0,0171181	0,0408586	0,0198869	0,0192985	0,0189858	0,0401542	0,0236615	0,0223134	0,0217518	0,0178094	0,0170469	0,0168265	0,0166747	0,021042	0,0174216	0,0302505	0,0223784	0,0244343	0,0213985	0,0314683	0,0219651	0,0188007	0,0181409	0,0163669	0,0152107	0,0187036	0,0199164	0,0312579	0,0218472	0,0249158	0,0234626	0,0345616	0,0268512	0,0171342	0,0176148	0,017633	0,0172394	0,0231194	0,0235611	0,0199199	0,0222503	0,0267824	0,0275683	0,0272489	0,0248023	0,0206426	0,0191995	0,0222574	0,0196974	0,0247405	0,0244225	0,019441	0,0202422	0,0297931	0,0270399	0,0265432	0,0246741
8	0,0172996	0,0162247	0,0177343	0,0193903	0,033296	0,0180337	0,0187232	0,0318956	0,0355075	0,0224914	0,0221652	0,0254114	0,0177285	0,017567	0,0214351	0,020238	0,0325316	0,0227506	0,0300924	0,0229336	0,0373476	0,0221825	0,0247019	0,0277982	0,0214956	0,019996	0,0171257	0,0176226	0,0320346	0,0271753	0,0211164	0,0196213	0,0372351	0,023295	0,022517	0,0249753	0,0197444	0,0166545	0,0161779	0,017225	0,0409906	0,0199591	0,0194165	0,0188395	0,0404267	0,023761	0,0221774	0,0216182	0,0179758	0,0168512	0,0167536	0,0164695	0,0210684	0,0174666	0,0301796	0,0221752	0,0243888	0,0213544	0,031409	0,0220829	0,0188162	0,0182623	0,0162245	0,0150756	0,0186784	0,0199234	0,0313926	0,0219232	0,0248803	0,0233345	0,0345842	0,0268164	0,0171567	0,0175358	0,0178755	0,0171008	0,0230518	0,023469	0,0199142	0,0224325	0,0266078	0,0274377	0,0273242	0,0247689	0,0207494	0,0191908	0,0223652	0,0198909	0,0248024	0,0243425	0,0194404	0,0202906	0,0296611	0,0270175	0,0265483	0,0247892
9	0,0173396	0,0161321	0,0176321	0,0192935	0,0331638	0,0180059	0,0188556	0,0316721	0,0353683	0,0224622	0,0222494	0,0251688	0,0177896	0,0177035	0,0213238	0,0201285	0,0326236	0,0225626	0,0298401	0,0228057	0,0374666	0,0221585	0,0248674	0,0279881	0,0218829	0,0199814	0,0171979	0,017494	0,0322037	0,0273006	0,0212268	0,0196991	0,0376185	0,0232617	0,0225873	0,0251317	0,0199122	0,0166598	0,0162796	0,0170559	0,041067	0,0199724	0,019247	0,0187754	0,0404106	0,0237684	0,0223291	0,0215585	0,0179758	0,0169683	0,0166284	0,0164657	0,0211887	0,0174699	0,0302596	0,0223431	0,0244193	0,0214834	0,0311825	0,0219535	0,0187855	0,0182735	0,0162812	0,0152039	0,0186329	0,0200997	0,0313219	0,0219571	0,0249708	0,0236518	0,0342438	0,0270394	0,0170209	0,0175515	0,0178975	0,0172871	0,0230357	0,0236452	0,0197566	0,0224443	0,0266401	0,0277362	0,0273217	0,0247825	0,0205994	0,0192272	0,022404	0,0197881	0,0246185	0,024344	0,0193852	0,0201386	0,0296832	0,0269009	0,0265266	0,0246668
10	0,0179576	0,0160622	0,0178605	0,0194176	0,0334563	0,0179718	0,0187218	0,0317073	0,0357036	0,0226232	0,0222963	0,0251733	0,0182981	0,017556	0,0213701	0,0200885	0,0325608	0,0226717	0,0298682	0,0228762	0,0375236	0,0221544	0,0247566	0,0280291	0,0221884	0,019987	0,01705	0,0177207	0,0321693	0,0270693	0,0213059	0,0195465	0,0375665	0,023285	0,0224689	0,0249713	0,0202903	0,0166984	0,0162783	0,0170488	0,0411014	0,0199268	0,0195936	0,0187588	0,0405909	0,0237956	0,0221869	0,0216865	0,0180193	0,0169386	0,0167602	0,0165077	0,0211064	0,0173736	0,0299432	0,0224336	0,0244411	0,0213121	0,0313016	0,021904	0,0188975	0,0181913	0,0163061	0,0152265	0,0185737	0,0200227	0,031064	0,0217854	0,0248954	0,0235823	0,034432	0,0269691	0,0170584	0,0176603	0,0180969	0,0171227	0,0231146	0,0235586	0,0198378	0,0223337	0,0266099	0,0276951	0,0271679	0,0248319	0,020571	0,0192664	0,0225065	0,0197996	0,0245643	0,0243718	0,0193496	0,0200982	0,029562	0,0269771	0,026415	0,0246052
